bioguide_id,name,name_confirm_from_sunlight,in_office,sort
M001200,2017 HON. A. DONALD MCEACHIN,REP. A. MCEACHIN,TRUE,HON. A. DONALD MCEACHIN
M001200,2018 HON. A. DONALD MCEACHIN,,,HON. A. DONALD MCEACHIN
M001200,2019 HON. A. DONALD MCEACHIN,,,HON. A. DONALD MCEACHIN
F000465,2017 HON. A. DREW FERGUSON IV,,TRUE,HON. A. DREW FERGUSON IV
F000465,2018 HON. A. DREW FERGUSON IV,,,HON. A. DREW FERGUSON IV
F000465,2019 HON. A. DREW FERGUSON IV,,,HON. A. DREW FERGUSON IV
S001179,HON. AARON SCHOCK,REP. AARON SCHOCK,TRUE,HON. AARON SCHOCK
F000467,2019 HON. ABBY FINKENAUER,,,HON. ABBY FINKENAUER
S001209,2019 HON. ABIGAIL DAVIS SPANBERGER,,,HON. ABIGAIL DAVIS SPANBERGER
S001150,2016 HON. ADAM B. SCHIFF,REP. ADAM SCHIFF,TRUE,HON. ADAM B. SCHIFF
S001150,2017 HON. ADAM B. SCHIFF,REP. ADAM SCHIFF,TRUE,HON. ADAM B. SCHIFF
S001150,HON. ADAM B. SCHIFF,REP. ADAM SCHIFF,TRUE,HON. ADAM B. SCHIFF
S001150,2018 HON. ADAM B. SCHIFF,,,HON. ADAM B. SCHIFF
S001150,2019 HON. ADAM B. SCHIFF,,,HON. ADAM B. SCHIFF
P000586,HON. ADAM H. PUTNAM,REP. ADAM PUTNAM,TRUE,HON. ADAM H. PUTNAM
K000378,2016 HON. ADAM KINZINGER,REP. ADAM KINZINGER,TRUE,HON. ADAM KINZINGER
K000378,2017 HON. ADAM KINZINGER,REP. ADAM KINZINGER,TRUE,HON. ADAM KINZINGER
K000378,HON. ADAM KINZINGER,REP. ADAM KINZINGER,TRUE,HON. ADAM KINZINGER
K000378,2018 HON. ADAM KINZINGER,,,HON. ADAM KINZINGER
K000378,2019 HON. ADAM KINZINGER,,,HON. ADAM KINZINGER
S000510,2016 HON. ADAM SMITH,REP. ADAM SMITH,TRUE,HON. ADAM SMITH
S000510,2017 HON. ADAM SMITH,REP. ADAM SMITH,TRUE,HON. ADAM SMITH
S000510,HON. ADAM SMITH,REP. ADAM SMITH,TRUE,HON. ADAM SMITH
S000510,2018 HON. ADAM SMITH,,,HON. ADAM SMITH
S000510,2019 HON. ADAM SMITH,,,HON. ADAM SMITH
S001172,2016 HON. ADRIAN SMITH,REP. ADRIAN SMITH,TRUE,HON. ADRIAN SMITH
S001172,2017 HON. ADRIAN SMITH,REP. ADRIAN SMITH,TRUE,HON. ADRIAN SMITH
S001172,HON. ADRIAN SMITH,REP. ADRIAN SMITH,TRUE,HON. ADRIAN SMITH
S001172,2018 HON. ADRIAN SMITH,,,HON. ADRIAN SMITH
S001172,2019 HON. ADRIAN SMITH,,,HON. ADRIAN SMITH
E000297,2017 HON. ADRIANO ESPAILLAT,REP. ADRIANO ESPAILLAT,TRUE,HON. ADRIANO ESPAILLAT
