"OFFICE","YEAR","QUARTER","CATEGORY","YTD","AMOUNT"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q1","PERSONNEL COMPENSATION","526,933.02","340,966.68"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q1","PERSONNEL COMPENSATION","1,408,810.99","630,623.93"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q1","TRAVEL","19,213.58","2,868.84"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q1","RENT, COMMUNICATION, UTILITIES","5,444.85","2,651.31"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q1","PRINTING AND REPRODUCTION","6,211.94","2,511.70"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q1","OTHER SERVICES","24,595.17","8,553.00"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q1","SUPPLIES AND MATERIALS","95,387.70","61,397.14"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q1","PERSONNEL BENEFITS","6,249.99","6,249.99"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q1","SUPPLIES AND MATERIALS","0.00","-19,138.00"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q1","PERSONNEL COMPENSATION","334,695.39","252,820.38"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q1","PERSONNEL COMPENSATION","810,961.37","315,073.79"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q1","TRAVEL","2,881.08","2,736.76"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q1","RENT, COMMUNICATION, UTILITIES","720.98","720.98"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q1","PRINTING AND REPRODUCTION","2,596.70","2,387.10"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q1","OTHER SERVICES","84.88","84.88"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q1","SUPPLIES AND MATERIALS","21,436.71","20,986.07"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q1","PERSONNEL BENEFITS","2,499.99","0.00"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q1","PERSONNEL COMPENSATION","484,547.36","166,697.39"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q1","PERSONNEL COMPENSATION","1,126,792.24","666,921.78"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q1","TRAVEL","24,266.43","20,046.76"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q1","RENT, COMMUNICATION, UTILITIES","3,390.21","3,062.07"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q1","PRINTING AND REPRODUCTION","4,458.37","4,365.47"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q1","OTHER SERVICES","29,848.25","24,048.25"
