BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,COMMUNICATIONS,FISCAL YEAR 2010,2010Q1,OTHER SERVICES,1755,455
,COMMUNICATIONS,FISCAL YEAR 2010,2010Q1,SUPPLIES AND MATERIALS,979.36,771.16
,COMMUNICATIONS,FISCAL YEAR 2010,2010Q1,EQUIPMENT,33815.32,33767.32
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,447067.08,226102.5
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,1857385.12,952771.16
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q1,TRAVEL,22625.61,15461.56
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q1,"RENT, COMMUNICATION, UTILITIES",15101.3,4169.95
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q1,PRINTING AND REPRODUCTION,8881.38,3780.21
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q1,OTHER SERVICES,41399.89,24598.41
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q1,SUPPLIES AND MATERIALS,83018.59,32419.04
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q1,SUPPLIES AND MATERIALS,14307.83,13494.4
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,224500.02,113875.02
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,932195.15,478845.26
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q1,TRAVEL,133.15,57.4
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q1,"RENT, COMMUNICATION, UTILITIES",157.3,72.8
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q1,PRINTING AND REPRODUCTION,418.4,412
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q1,OTHER SERVICES,286.47,63.66
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q1,SUPPLIES AND MATERIALS,30936.65,19568.56
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q1,PERSONNEL BENEFITS,4999.98,2499.99
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,583820.86,290470.9
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,866204.89,439257.44
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q1,TRAVEL,294,258
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q1,"RENT, COMMUNICATION, UTILITIES",462.17,323.66
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q1,PRINTING AND REPRODUCTION,166.65,138.85
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q1,SUPPLIES AND MATERIALS,45845.95,18190.85
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q1,PERSONNEL BENEFITS,4999.98,2499.99
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,82974.66,41724.66
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,709931.32,367871.6
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q1,TRAVEL,483,377
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q1,"RENT, COMMUNICATION, UTILITIES",391.72,265.68
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q1,PRINTING AND REPRODUCTION,314.8,133.3
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q1,OTHER SERVICES,2573.32,1530.4
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q1,SUPPLIES AND MATERIALS,48181.75,30674.09
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,181108.04,95309.03
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,559070.95,271262.02
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q1,TRAVEL,3810.89,2018.2
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q1,"RENT, COMMUNICATION, UTILITIES",21.05,16.21
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q1,PRINTING AND REPRODUCTION,2214.04,2178.24
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q1,SUPPLIES AND MATERIALS,84642.56,56675.44
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,172500,86250
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,448265.79,223674.3
,DEMOCRATIC CAUCUS,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,153500.01,77375.01
,DEMOCRATIC CAUCUS,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,744327.56,363954.43
,DEMOCRATIC CAUCUS,FISCAL YEAR 2010,2010Q1,TRAVEL,4966.78,4839.78
,DEMOCRATIC CAUCUS,FISCAL YEAR 2010,2010Q1,"RENT, COMMUNICATION, UTILITIES",12560,12560
,DEMOCRATIC CAUCUS,FISCAL YEAR 2010,2010Q1,PRINTING AND REPRODUCTION,1869.2,1718.7
,DEMOCRATIC CAUCUS,FISCAL YEAR 2010,2010Q1,OTHER SERVICES,8400.22,290.71
,DEMOCRATIC CAUCUS,FISCAL YEAR 2010,2010Q1,SUPPLIES AND MATERIALS,78030.2,63247.63
,REPUBLICAN CONFERENCE,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,154205.49,78352.74
,REPUBLICAN CONFERENCE,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,529467.29,261883.96
,REPUBLICAN CONFERENCE,FISCAL YEAR 2010,2010Q1,TRAVEL,978.62,736.12
,REPUBLICAN CONFERENCE,FISCAL YEAR 2010,2010Q1,"RENT, COMMUNICATION, UTILITIES",7609.89,300
,REPUBLICAN CONFERENCE,FISCAL YEAR 2010,2010Q1,OTHER SERVICES,3216.39,1383.02
,REPUBLICAN CONFERENCE,FISCAL YEAR 2010,2010Q1,SUPPLIES AND MATERIALS,30726.37,12636.95
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,175708.41,70811.65
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2010,2010Q1,TRAVEL,60.04,10
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2010,2010Q1,"RENT, COMMUNICATION, UTILITIES",165.15,0
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2010,2010Q1,PRINTING AND REPRODUCTION,38.3,0
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2010,2010Q1,OTHER SERVICES,20300,15300
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2010,2010Q1,SUPPLIES AND MATERIALS,1533.97,721.02
,REPUBLICAN STEERING COMMITTEE,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,339119.98,158472.49
,REPUBLICAN STEERING COMMITTEE,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,15000,6000
,MINORITY EMPLOYEES,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,495970.54,238246.38
,LEGISLATIVE FLOOR ACTIVITIES,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,258750,129375
,RC-TRAINING & PROGRAM DEVEL.,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,122943.45,56768
,DS-TRAINING & PROGRAM DEVEL.,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,139429.53,70173
,CLOAKROOM PERSONNEL - MAJ,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,240881.01,121364.76
,CLOAKROOM PERSONNEL - MIN,FISCAL YEAR 2010,2010Q1,PERSONNEL COMPENSATION,187162.47,94062.48
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2010,2010Q1,TRAVEL,20532.45,15772.57
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2010,2010Q1,"RENT, COMMUNICATION, UTILITIES",718515.39,201454.41
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2010,2010Q1,PRINTING AND REPRODUCTION,3053.89,2860.52
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2010,2010Q1,OTHER SERVICES,227327.71,193295.46
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2010,2010Q1,SUPPLIES AND MATERIALS,338676.52,482012.2
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2010,2010Q1,EQUIPMENT,218960.31,3713.78
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2010,2010Q1,OTHER SERVICES,86830,33250
