BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,19TH DISTRICT OF FLORIDA,2009,2009Q4,PERSONNEL COMPENSATION,878531.19,800
,19TH DISTRICT OF FLORIDA,2009,2009Q4,PERSONNEL COMPENSATION,361028.68,361028.68
,19TH DISTRICT OF FLORIDA,2009,2009Q4,"RENT, COMMUNICATION, UTILITIES",62691.55,5249.52
,19TH DISTRICT OF FLORIDA,2009,2009Q4,TRAVEL,44028.12,5764.51
,19TH DISTRICT OF FLORIDA,2009,2009Q4,PRINTING AND REPRODUCTION,40861.45,0
,19TH DISTRICT OF FLORIDA,2009,2009Q4,FRANKED MAIL,39014.36,660.65
,19TH DISTRICT OF FLORIDA,2009,2009Q4,OTHER SERVICES,19283,3750
,19TH DISTRICT OF FLORIDA,2009,2009Q4,"RENT, COMMUNICATION, UTILITIES",15002.82,15002.82
,19TH DISTRICT OF FLORIDA,2009,2009Q4,SUPPLIES AND MATERIALS,13368.83,884.29
,19TH DISTRICT OF FLORIDA,2009,2009Q4,TRAVEL,8864.84,8864.84
,19TH DISTRICT OF FLORIDA,2009,2009Q4,EQUIPMENT,6328.79,1487.99
,19TH DISTRICT OF FLORIDA,2009,2009Q4,PERSONNEL BENEFITS,1945.15,0
,19TH DISTRICT OF FLORIDA,2009,2009Q4,EQUIPMENT,1564.23,1564.23
,19TH DISTRICT OF FLORIDA,2009,2009Q4,SUPPLIES AND MATERIALS,1450.35,1450.35
,19TH DISTRICT OF FLORIDA,2009,2009Q4,OTHER SERVICES,750,750
,19TH DISTRICT OF FLORIDA,2009,2009Q4,FRANKED MAIL,630.9,630.9
,19TH DISTRICT OF FLORIDA,2009,2009Q4,PRINTING AND REPRODUCTION,50.2,50.2
,5TH DISTRICT OF ILLINOIS,2009,2009Q4,PERSONNEL COMPENSATION,236653.8,0
,5TH DISTRICT OF ILLINOIS,2009,2009Q3,PERSONNEL COMPENSATION,236653.8,0
,5TH DISTRICT OF ILLINOIS,2009,2009Q4,OTHER SERVICES,20298.98,0
,5TH DISTRICT OF ILLINOIS,2009,2009Q3,OTHER SERVICES,20298.98,240
,5TH DISTRICT OF ILLINOIS,2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",18085.33,541.8
,5TH DISTRICT OF ILLINOIS,2009,2009Q4,"RENT, COMMUNICATION, UTILITIES",17897.81,-187.52
,5TH DISTRICT OF ILLINOIS,2009,2009Q4,SUPPLIES AND MATERIALS,2101.35,0
,5TH DISTRICT OF ILLINOIS,2009,2009Q3,SUPPLIES AND MATERIALS,2101.35,38.69
,5TH DISTRICT OF ILLINOIS,2009,2009Q4,EQUIPMENT,1724.99,0
,5TH DISTRICT OF ILLINOIS,2009,2009Q3,EQUIPMENT,1724.99,0
,5TH DISTRICT OF ILLINOIS,2009,2009Q4,PERSONNEL BENEFITS,478.05,0
,5TH DISTRICT OF ILLINOIS,2009,2009Q3,PERSONNEL BENEFITS,478.05,0
,5TH DISTRICT OF ILLINOIS,2009,2009Q4,TRAVEL,231.2,0
,5TH DISTRICT OF ILLINOIS,2009,2009Q3,TRAVEL,231.2,0
,ADMINISTRATION,FISCAL YEAR 2009,2009Q3,EQUIPMENT,1800795,1800000
,ADMINISTRATION,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",90696.44,27060.88
,ADMINISTRATION,FISCAL YEAR 2009,2009Q3,TRAVEL,52068.29,1748.38
