"bioguide_id","name","name_check","in_office"
"G000546","HON. SAM GRAVES","REP. SAMUEL 'SAM' GRAVES","true"
"K000172","HON. DALE E KILDEE","REP. DALE KILDEE","true"
"M000934","HON. JERRY MORAN","REP. JERRY MORAN","true"
"T000467","HON. GLENN THOMPSON","REP. GLENN 'G.T.' THOMPSON JR.","true"
"R000577","HON. TIMOTHY J. RYAN","REP. TIMOTHY 'TIM' RYAN","true"
"C000380","HON. DONNA MC CHRISTENSEN","DEL. DONNA CHRISTENSEN","true"
"B001248","HON. MICHAEL C. BURGESS","REP. MICHAEL BURGESS","true"
"L000569","HON. BLAINE LUETKEMEYER","REP. BLAINE LUETKEMEYER","true"
"I000023","HON. BOB INGLIS","REP. ROBERT 'BOB' INGLIS SR.","true"
"L000571","HON. CYNTHIA M. LUMMIS","REP. CYNTHIA LUMMIS","true"
"Y000033","HON. DON YOUNG","REP. DONALD 'DON' YOUNG","true"
"S001158","HON. JOHN T. SALAZAR","REP. JOHN SALAZAR","true"
"C001067","HON. YVETTE D. CLARKE","REP. YVETTE CLARKE","true"
"S000244","HON. F JAMES SENSENBRENNER JR","REP. JAMES 'JIM' SENSENBRENNER JR.","true"
"S001150","HON. ADAM B. SCHIFF","REP. ADAM SCHIFF","true"
"H001037","HON. STEPHANIE HERSETH",,
"B000287","HON. XAVIER BECERRA","REP. XAVIER BECERRA","true"
"Y000062","HON. JOHN A. YARMUTH","REP. JOHN YARMUTH","true"
"D000096","HON. DANNY K. DAVIS","REP. DANNY DAVIS","true"
"T000238","HON. MAC THORNBERRY","REP. WILLIAM 'MAC' THORNBERRY","true"
"C001049","HON. WILLIAM LACY CLAY","REP. WILLIAM 'LACY' CLAY JR.","true"
"K000362","HON. STEVE KING","REP. STEVE KING","true"
"L000111","HON. TOM LATHAM","REP. THOMAS 'TOM' LATHAM","true"
"K000188","HON. RON KIND","REP. RONALD 'RON' KIND","true"
"H000627","HON. MAURICE D HINCHEY","REP. MAURICE HINCHEY","true"
"K000220","HON. JACK KINGSTON","REP. JACK KINGSTON","true"
"P000583","HON. RON PAUL","REP. RONALD 'RON' PAUL","true"
"D000609","HON. STEVE DRIEHAUS","REP. STEVEN 'STEVE' DRIEHAUS","true"
"K000366","HON. RON KLEIN","REP. RON KLEIN","true"
"T000465","HON. NIKI TSONGAS","REP. NICOLA 'NIKI' TSONGAS","true"
"B001242","HON. TIMOTHY H. BISHOP","REP. TIMOTHY BISHOP","true"
"B000213","HON. JOE BARTON","REP. JOE BARTON","true"
"F000372","HON. RODNEY P FRELINGHUYSEN","REP. RODNEY FRELINGHUYSEN","true"
"G000550","HON. PHIL GINGREY","REP. PHIL GINGREY","true"
"G000557","HON. PARKER GRIFFITH","REP. PARKER GRIFFITH","true"
"R000486","HON. LUCILLE ROYBAL-ALLARD","REP. LUCILLE ROYBAL-ALLARD","true"
"G000551","HON. RAUL M. GRIJALVA","REP. RAUL GRIJALVA","true"
"R000580","HON. PETER J. ROSKAM","REP. PETER ROSKAM","true"
"C001047","HON. SHELLEY MOORE CAPITO","REP. SHELLEY CAPITO","true"
"B000575","HON. ROY BLUNT","REP. ROY BLUNT","true"
"K000180","HON. CAROLYN C. KILPATRICK","REP. CAROLYN KILPATRICK","true"
"B001239","HON. J. GRESHAM BARRETT","REP. J. GRESHAM BARRETT","true"
"W000801","HON. CHARLES A. WILSON","REP. CHARLES 'CHARLIE' WILSON JR.","true"
"L000559","HON. JAMES R. LANGEVIN","REP. JAMES 'JIM' LANGEVIN","true"
"G000552","HON. LOUIE GOHMERT","REP. LOUIS 'LOUIE' GOHMERT","true"
"M000404","HON. JIM MCDERMOTT","REP. JAMES 'JIM' MCDERMOTT","true"
"C001068","HON. STEVE COHEN","REP. STEVE COHEN","true"
"J000290","HON. LYNN JENKINS","REP. LYNN JENKINS","true"
"H000712","HON. TIM HOLDEN","REP. TIM HOLDEN","true"
"T000459","HON. LEE TERRY","REP. LEE TERRY","true"
"D000604","HON. CHARLES W. DENT","REP. CHARLES DENT","true"
"P000265","HON. THOMAS PETRI","REP. THOMAS 'TOM' PETRI","true"
"R000568","HON. CIRO RODRIGUEZ","REP. CIRO RODRIGUEZ","true"
"Q000023","HON. MIKE QUIGLEY","REP. MIKE QUIGLEY","true"
"N000183","HON. GLENN C. NYE III","REP. GLENN NYE III","true"
"T000468","HON. DINA TITUS","REP. ALICE 'DINA' TITUS","true"
"S000364","HON. JOHN SHIMKUS","REP. JOHN SHIMKUS","true"
"W000804","HON. ROBERT J. WITTMAN","REP. ROBERT 'ROB' WITTMAN","true"
"M001151","HON. TIM MURPHY","REP. TIM MURPHY","true"
"T000460","HON. MIKE THOMPSON","REP. MICHAEL 'MIKE' THOMPSON","true"
"H001038","HON. BRIAN HIGGINS","REP. BRIAN HIGGINS","true"
"C000243","HON. MICHAEL N CASTLE","REP. MICHAEL CASTLE","true"
"S001173","HON. ZACHARY T. SPACE","REP. ZACHARY 'ZACK' SPACE","true"
"F000454","HON. BILL FOSTER","REP. BILL FOSTER","true"
"L000491","HON. FRANK D LUCAS","REP. FRANK LUCAS","true"
"I000056","HON. DARRELL E. ISSA","REP. DARRELL ISSA","true"
"M000725","HON. GEORGE MILLER","REP. GEORGE MILLER","true"
"F000448","HON. TRENT FRANKS","REP. TRENT FRANKS","true"
"W000672","HON. FRANK R WOLF","REP. FRANK WOLF","true"
"K000365","HON. STEVE KAGEN","REP. STEVEN KAGEN","true"
"H001030","HON. BARON P. HILL","REP. BARON HILL","true"
"L000560","HON. RICK LARSEN","REP. RICK LARSEN","true"
"M001155","HON. CONNIE MACK","REP. CONNIE MACK IV","true"
"B001260","HON. VERN BUCHANAN","REP. VERN BUCHANAN","true"
"S001172","HON. ADRIAN SMITH","REP. ADRIAN SMITH","true"
"S001180","HON. KURT SCHRADER","REP. KURT SCHRADER","true"
"E000063","HON. CHET EDWARDS","REP. THOMAS 'CHET' EDWARDS","true"
"A000365","HON. STEVE AUSTRIA","REP. STEVEN 'STEVE' AUSTRIA","true"
"L000557","HON. JOHN B. LARSON","REP. JOHN LARSON","true"
"C001080","HON. JUDY CHU","REP. JUDY CHU","true"
"M001169","HON. CHRISTOPHER S. MURPHY","REP. CHRISTOPHER 'CHRIS' MURPHY","true"
"S000480","HON. LOUISE MCINTOSH SLAUGHTER","REP. LOUISE SLAUGHTER","true"
"B000911","HON. CORRINE BROWN","REP. CORRINE BROWN","true"
"M001147","HON. THADDEUS G. MCCOTTER","REP. THADDEUS 'THAD' MCCOTTER","true"
"S000822","HON. CLIFF STEARNS","REP. CLIFFORD 'CLIFF' STEARNS","true"
"E000172","HON. JO ANN EMERSON","REP. JO ANN EMERSON","true"
"M001142","HON. JIM MATHESON","REP. JIM MATHESON","true"
"B001253","HON. MELISSA L. BEAN","REP. MELISSA BEAN","true"
"N000179","HON. GRACE F. NAPOLITANO","REP. GRACE NAPOLITANO","true"
"L000263","HON. SANDER M LEVIN","REP. SANDER 'SANDY' LEVIN","true"
"A000358","HON. W. TODD AKIN","REP. W. TODD AKIN","true"
"W000800","HON. PETER WELCH","REP. PETER WELCH","true"
"S001175","HON. JACKIE SPEIER","REP. K. JACQUELINE 'JACKIE' SPEIER","true"
"R000573","HON. MIKE ROSS","REP. MIKE ROSS","true"
"C001058","HON. BEN CHANDLER","REP. ALBERT 'BEN' CHANDLER III","true"
"C000556","HON. HOWARD COBLE","REP. JOHN 'HOWARD' COBLE","true"
"B000574","HON. EARL BLUMENAUER","REP. EARL BLUMENAUER","true"
"E000092","HON. VERNON J EHLERS","REP. VERNON 'VERN' EHLERS","true"
"N000147","HON. ELEANOR HOLMES NORTON","DEL. ELEANOR NORTON","true"
"M001159","HON. CATHY MCMORRIS RODGERS",,
"D000355","HON. JOHN D DINGELL","REP. JOHN DINGELL","true"
"S001164","HON. JEAN SCHMIDT","REP. JEAN SCHMIDT","true"
"G000309","HON. BART GORDON","REP. BART GORDON","true"
"E000289","HON. BRAD ELLSWORTH","REP. BRAD ELLSWORTH","true"
"C000059","HON. KEN CALVERT","REP. KEN CALVERT","true"
"A000014","HON. NEIL ABERCROMBIE","REP. NEIL ABERCROMBIE","false"
"L000287","HON. JOHN LEWIS","REP. JOHN LEWIS","true"
"B001229","HON. BRIAN BAIRD","REP. BRIAN BAIRD","true"
"D000603","HON. GEOFF DAVIS","REP. GEOFF DAVIS","true"
"M001171","HON. DANIEL B. MAFFEI","REP. DANIEL 'DAN' MAFFEI","true"
"G000535","HON. LUIS V GUTIERREZ","REP. LUIS GUTIERREZ","true"
"J000283","HON. JESSE L JACKSON JR","REP. JESSE JACKSON JR.","true"
"C001076","HON. JASON CHAFFETZ","REP. JASON CHAFFETZ","true"
"O000107","HON. SOLOMON P ORTIZ","REP. SOLOMON ORTIZ SR.","true"
"B001247","HON. GINNY BROWN-WAITE","REP. VIRGINIA 'GINNY' BROWN-WAITE","true"
"S000510","HON. ADAM SMITH","REP. ADAM SMITH","true"
"O000085","HON. JOHN OLVER","REP. JOHN OLVER","true"
"D000399","HON. LLOYD DOGGETT","REP. LLOYD DOGGETT","true"
"L000551","HON. BARBARA LEE","REP. BARBARA LEE","true"
"W000795","HON. JOE WILSON","REP. ADDISON 'JOE' WILSON SR.","true"
"S000344","HON. BRAD SHERMAN","REP. BRAD SHERMAN","true"
"A000210","HON. ROBERT ANDREWS","REP. ROBERT 'ROB' ANDREWS","true"
"S001168","HON. JOHN P. SARBANES","REP. JOHN SARBANES","true"
"B001227","HON. ROBERT A. BRADY","REP. ROBERT 'BOB' BRADY","true"
"C000984","HON. ELIJAH CUMMINGS","REP. ELIJAH CUMMINGS","true"
"C000537","HON. JAMES E CLYBURN","REP. JAMES 'JIM' CLYBURN","true"
"C000071","HON. DAVE CAMP","REP. DAVID 'DAVE' CAMP","true"
"C001072","HON. ANDRE CARSON","REP. ANDRE CARSON","true"
"H000874","HON. STENY H HOYER","REP. STENY HOYER","true"
"G000549","HON. JIM GERLACH","REP. JIM GERLACH","true"
"E000290","HON. DONNA F. EDWARDS","REP. DONNA EDWARDS","true"
"B001254","HON. DAN BOREN","REP. DAVID 'DAN' BOREN","true"
"M001160","HON. GWEN MOORE","REP. GWENDOLYNNE 'GWEN' MOORE","true"
"W000738","HON. LYNN C WOOLSEY","REP. LYNN WOOLSEY","true"
"L000570","HON. BEN RAY LUJAN","REP. BEN LUJAN JR.","true"
"B000657","HON. RICK BOUCHER","REP. FREDERICK 'RICK' BOUCHER","true"
"H000067","HON. RALPH M HALL","REP. RALPH HALL","true"
"N000002","HON. JERROLD NADLER","REP. JERROLD NADLER","true"
"R000570","HON. PAUL RYAN","REP. PAUL RYAN","true"
"K000360","HON. MARK STEVEN KIRK","REP. MARK KIRK","true"
"C001074","HON. TRAVIS W. CHILDERS","REP. TRAVIS CHILDERS","true"
"M001177","HON. TOM MCCLINTOCK","REP. TOM MCCLINTOCK","true"
"M001149","HON. MICHAEL H. MICHAUD","REP. MICHAEL 'MIKE' MICHAUD","true"
"P000096","HON. BILL PASCRELL, JR.","REP. WILLIAM 'BILL' PASCRELL JR.","true"
"L000321","HON. JOHN LINDER","REP. JOHN LINDER","true"
