"BIOGUIDE_ID","COMMITTEE_ID","OFFICE NAME (ORIGINAL)","OFFICE NAME (STANDARD)","OFFICE PHONE","OFFICE LOCATION","OFFICE ROOM NUMBER"
"D000600",,,"Rep. Mario Diaz-Balart","202-225-2778","Cannon",328
"D000327",,,"Rep. Norm Dicks","202-225-5916","Rayburn",2467
"D000355",,,"Rep. John Dingell","202-225-4071","Rayburn",2328
"D000399",,,"Rep. Lloyd Doggett","202-225-4865","Cannon",201
"D000482",,,"Rep. Mike Doyle Jr.","202-225-2135","Cannon",401
"D000492",,,"Rep. David Dreier","202-225-2305","Cannon",233
"E000290",,,"Rep. Donna Edwards","202-225-8699","Cannon",318
"E000179",,,"Rep. Eliot Engel","202-225-2464","Rayburn",2161
"F000339",,,"Rep. Barney Frank","202-225-5931","Rayburn",2252
"F000448",,,"Rep. Trent Franks","202-225-4576","Rayburn",2435
"G000550",,,"Rep. Phil Gingrey","202-225-2931","Cannon",119
"H001042",,,"Rep. Mazie Hirono","202 225-4906","Longworth",1524
"H000712",,,"Rep. Tim Holden","202-225-5546","Rayburn",2417
"I000057",,,"Rep. Steve Israel","202-225-3335","Rayburn",2457
"J000290",,,"Rep. Lynn Jenkins","202-225-6601","Cannon",130
"K000210",,,"Rep. Pete King","202-225-7896","Cannon",339
"K000362",,,"Rep. Steve King","202-225-4426","Longworth",1131
"K000360",,,"Rep. Mark Kirk","202-225-4835","Longworth",1030
"L000560",,,"Rep. Rick Larsen","202-225-2605","Cannon",108
"L000557",,,"Rep. John Larson","202-225-2265","Cannon",106
"L000274",,,"Rep. Jerry Lewis","202-225-5861","Rayburn",2112
"L000397",,,"Rep. Zoe Lofgren","202-225-3072","Cannon",102
"L000480",,,"Rep. Nita Lowey","202-225-6506","Rayburn",2329
"L000491",,,"Rep. Frank Lucas","202-225-5565","Rayburn",2311
"L000570",,,"Rep. Ben Lujan Jr.","202-225-6190","Cannon",502
"M001163",,,"Rep. Doris Matsui","202-225-7163","Cannon",222
"M001120",,,"Rep. Jack Murtha","202-225-2065","Rayburn",2423
"N000015",,,"Rep. Richard Neal","202-225-5601","Rayburn",2208
"N000181",,,"Rep. Devin Nunes","202-225-2523","Longworth",1013
"N000183",,,"Rep. Glenn Nye III","202-225-4215","Cannon",116
