"OFFICE NAME (ORIGINAL)","OFFICE NAME (STANDARD)","COMMITTEE_ID","OFFICE PHONE","OFFICE LOCATION","OFFICE ROOM NUMBER"
"OFFICE OF FINANCE","Office of Finance",,"(202) 225-7474","Cannon House Office Building",263
"CLERK OF THE HOUSE","Clerk of the House",,"(202) 225-7000","Capitol","H154"
"COMMITTEE ON AGRICULTURE","House Committee on Agriculture","HSAG","(202) 225-2171"," Longworth House Office Building",1301
"COMMITTEE ON APPROPRIATIONS","House Committee on Appropriations","HSAP","(202) 225-2771","Capitol","H-218"
"ARMED SERVICES COMMITTEE","House Committee on Armed Services","HSAS","(202) 225-4151","Rayburn House Office Building",2120
"COMMITTEE ON BUDGET","House Committee on the Budget","HSBU","(202) 226-7200","Cannon House Office Building",207
"EDUCATION AND LABOR","House Committee on Education and Labor","HSED","(202) 225-3725","Rayburn House Office Building",2181
"COMMITTEE ON ENERGY & COMMERCE","House Committee on Energy and Commerce","HSIF","(202) 225-2927","Rayburn House Office Building",2125
"COMMITTEE ON FINANCIAL SERVICE","House Committee on Financial Services","HSBA","(202) 225-4247","Rayburn House Office Building",2129
"COMMITTEE ON FOREIGN AFFAIRS","House Committee on Foreign Affairs","HSFA","(202) 225-5021","Rayburn House Office Building",2170
"HOMELAND SECURITY","House Committee on Homeland Security","HSHM","(202) 226-2616","Ford House Office Building",176
"HOUSE ADMINISTRATION","House Committee on House Administration","HSHA","(202) 225-2061","Longworth House Office Building",1309
"COMMITTEE ON NATURAL RESOURCES","House Committee on Natural Resources","HSII","(202) 225-6065","Longworth House Office Building",1324
"OVERSIGHT & GOVERNMENT REFORM","House Committee on Oversight and Government Reform","HSGO","(202) 225-5051","Rayburn House Office Building",2157
"COMMITTEE ON RULES","House Committee on Rules","HSRU","(202) 225-9091","Capitol","H-312"
"COMM ON SCIENCE AND TECHNOLOGY","House Committee on Science and Technology","HSSY","(202) 225-6375","Rayburn House Office Building",2321
"COMMITTEE ON SMALL BUSINESS","House Committee on Small Business","HSSM","(202) 225-4038","Rayburn House Office Building",2361
"STANDARDS OF OFFICIAL CONDUCT","House Committee on Standards of Official Conduct","HSSO","(202) 225-7103","Capitol","HT-2"
"COMMITTEE ON JUDICIARY","House Committee on the Judiciary","HSJU","(202) 225-3951","Rayburn House Office Building",2138
"TRANSPORTATION-INFRASTRUCTURE","House Committee on Transportation and Infrastructure","HSPW","(202) 225-4472","Rayburn House Office Building",2165
"VETERANSâ€™ AFFAIRS","House Committee on Veterans' Affairs ","HSVR","(202) 225-9756","Cannon House Office Building",335
"COMMITTEE ON WAYS AND MEANS","House Committee on Ways and Means","HSWM","(202) 225-3625","Longworth House Office Building",1102
"DEMOCRATIC CAUCUS","Democratic Caucus",,"(202) 225-1400","Cannon House Office Building","202A"
"DEMOCRATIC STEERING AND POLICY","Democratic Steering and Policy Committee",,"(202) 225-0100","Capitol","H232"
"HOUSE CHILD CARE CENTER","House Child Care Center",,"(202) 225-9684","Ford House Office Building","H2-147"
"INTELLIGENCE","House Permanent Select Committee on Intelligence","HLIG","(202) 225-7690","Capitol Visitor Center","HVC-304"
"ENERGY INDEP & GLOBAL WARMING","House Select Committee on Energy Independence and Global Warming","HSGW","(202) 225-4012","Longworth House Office Building","B243 "
"INTERPARLIAMENTARY AFFAIRS","Interparliamentary Affairs",,"(202) 226-1766","Capitol","HB28"
"JOINT COMMMITTEE ON TAXATION","Joint Committee on Taxation","JSTX","(202) 225-3621","Longworth House Office Building",1015
