TITLE (ORIGINAL),Corrected Title,Category
SCHED AND DIR OF SPECIAL EVENT,Scheduler and Director of Special Events,
FLOOR DIRECTOR AND COUNSEL,Floor Director and Counsel,
DEP FLOOR DIR AND SENIOR ADVIS,Deputy Floor Director and Senior Advisor,
EVENTS AND PROJECTS COORDINATO,Events and Projects Coordinator,
DIR OF MULTIMEDIA COMM AND TEC,Director of Multimedia Communications and Technology,
SR RECVNG AND WAREHOUSING SPEC,Senior Receiving and Warehousing Specialists,
IT ADVOCACY AND OPS MANAGER,Information Technology Advocacy and Operations Manager,
DIRECTOR PAYROLL AND BENEFITS,Director Payroll and Benefits,
DIR NETWORK AND UNIFIED COMMUN,Director Network and Unified Communications,
"DIR., SYSTEMS AND OPERATIONS","Director, Systems and Operations",
PRINCIPAL AND GUIDANCE COUNSEL,Principal and Guidance Counsel,
OFFICE AND PRODUCTION ASSIST,Office and Production Assistant,
SCHEDULER AND POLICY ANALYST,Scheduler and Policy Analyst,
CASE AND PROJECT MGT,Case and Project Management,
SR POLICY ADVISOR AND COUNSEL,Senior Policy Advisor and Counsel,
CASEWORKER AND DISTRCIT COMM,Caseworker and District Communications,
DIST FIELD REP AND VET AFFRS,District Field Representative and Veterans Affairs,
OUTREACH AND GRANTS MANAGER,Outreach and Grants Manager,
SYS ADMIN AND WEBSITE MGR,Systems Administrator and Website Manager,
GRANTS AND SPECIAL PROJECTS,Grants and Special Projects,
MILITARY AND VETERANΓÇÖS LIAISON,Military and Veterans Liaison,
DIR OF CONSTIT SERV AND OUTREA,Director of Constituent Services and Outreach,
DEVELOPMENT AND PROJECTS ASST,Development and Projects Assistant,
DIR OF SPEC PROJ AND FLD REP,Director of Special Projects and Field Representative,
BUS. AND MILITARY AFFAIRS LIAI,Business and Military Affairs Liaison,
SEN POL ADV FOR EC DEV AND EMP,Senior Policy Advisor for Economic Development and Employment,
COUNSEL AND SENIOR ADVISOR,Counsel and Senior Advisor,
DEPUTY C.O.S. AND NATO PA COOR,Deputy Chief of Staff and NATO Parliamentary Assembly Coordinator,
SENIOR STAFF ASST AND HR SPEC,Senior Staff Assistant and Human Relations Specialist,
COUNSEL AND BUDGET ANALYST,Counsel and Budget Analyst,
COALITIONS AND MEM SVC COORD,Coalition and Member Services Coordinator,
FINANCIAL AND ADMIN. OFFICER,Financial and Administrative Officer,
CLERK AND LEGISLATIVE ADVISOR,Clerk and Legislative Advisor,
EDITOR AND ASST CLERK,Editor and Assistant Clerk,
DIRECTOR OF POLICY AND OUTREAC,Director of Policy and Outreach,
TRADE ADVISOR AND SR ECONOMIST,Trade Advisor and Senior Economist,
HUMAN RESOURCES GENERALIST,Human Resources Generalist,
STAFF ASST/COMMUNITY LIAISON,Staff Assistant / Community Liaison,
STAFF ASSIST/HR SPECIALIST,Staff Assistant / Human Resources Specialist,
COMMERICIAL AND AD LAW COUNSEL,Commercial and Administrative Law Counsel,
SEN PROF STAFF,Senior Professional Staff,
ASSETS AND FACILITIES SUPERVIS,Assets and Facilities Supervisor,
OUTREACH AND COALITIONS DIR,Outreach and Coalitions Director,
PRESS ASST AND SR STAFF ASSIST,Press Assistant and Senior Staff Assistant,
SEN SAFETY AND SECURITY ADVISO,Senior Safety and Security Advisor,
GEN COUNS AND SENIOR POL ADV,General Counsel and Senior Policy Advisor,
DIR OF EXT AFRS AND COMM OUTRE,Director of External Affairs and Communications Outreach,
GRANTS AND PROJECTS COORD,Grants and Projects Coordinator,
DIR OF INTERGOV'T AFFAIRS,Director of Intergovernmental Affairs,
STAFF ASSISTANT-CORRES.,Staff Assistant / Legislative Correspondent,
STAFF ASSISTANT/FELLOW,Staff Assistant / Fellow,
SENIOR ADVISOR TO THE CHAIRMAN,Senior Advisor to the Chairman,
PRESS ASST/RESCHR FOR VICE CHR,Press Assistant / Researcher for Vice Chairman,
POLICY DIR/LEGISLATIVE COUNSEL,Policy Director / Legislative Counsel,
DEP SCHEDULER/EXEC ASSISTANT,Deputy Scheduler/ Executive Assistant,
DIRECTOR WEB SYSTEMS,Director Web Systems,
"ACTING DIR, FIN COUNSELING","Acting Director, Financial Counseling",
INVENTORY AND PLANNING MANAGER,Inventory and Planning Manager,
PROGRAM MANAGER,Program Manager,
DIRECTOR MEMBERS' SERVICES,Director Members' Services,
PHOTOGRAPHIC LAB TECHNICIAN,Photographic Lab Technician,
INFO SYSTEMS SECURITY MGR,Information Systems Security Manager,
CFO/ASSISTANT CAO,Chief Financial Office / Assistant Chief Administrative Officer,
CLIENT RELATIONS SPECIALIST,Client Relations Specialist,
HR POLICY & PRACTICE ADVISOR,Human Resource Policy and Practice Advisor,
VACANCY OUTREACH COORDINATOR,Vacancy Outreach Coordinator,
"ACTING DIRECTOR, FIRSTCALL","Acting Director, Firstcall",
