PURPOSE Field,PURPOSE FIELD DIRECTOR ,NumberOfDups
ACCOUNT MGMT COUNSELOR (A) (OVERTIME),ACCOUNT MANAGEMENT COUNSELOR   ,1
ACCOUNTANT (OTHER COMPENSATION),ADMINISTRATIVE ASSISTANT TO DIRECTOR OF EDUCATION POLICY  ,1
ADM ASSIST TO DIR OF ED POLICY,ADMINISTRATIVE ASSISTANT TO DIRECTOR OF EDUCATION POLICY  ,1
ADM ASSIST TO DIR OF ED POLICY (OVERTIME),ADMINISTRATIVE ASSISTANT TO DIRECTOR OF EDUCATION POLICY   ,1
ADMIN & TECH SUPPORT SPEC (OVERTIME),ADMINISTRATIVE AND TECHNICAL SUPPORT SPECIALIST   ,1
ADMIN ASST AND OFFICE MANAGER,ADMINISTRATIVE ASSISTANT/OFFICE MANAGER  ,1
ADMIN DIRECTOR & LEGI ASSISTAN,ADMINISTRATIVE DIRECTOR AND LEGISLATIVE ASSISTANT  ,1
ADMINISTRATIVE ASSISTANT (OTHER COMPENSATION),ADMINISTRATIVE ASSISTANT   ,1
ADMINISTRATIVE SECRETARY (OTHER COMPENSATION),ADMINISTRATIVE SECRETARY   ,1
AGRICULTURE & DAIRY SPECIALIST,AGRICULTURE AND DAIRY SPECIALIST  ,1
AGRICULTURE COUNSEL (OTHER COMPENSATION),AGRICULTURE COUNSEL   ,1
ANALYST,ANALYST  ,1
APPOINTMENTS DESK ASSISTANT(A) (OVERTIME),APPOINTMENTS DESK ASSISTANT   ,1
AREA COORDINATOR (OTHER COMPENSATION),AREA COORDINATOR   ,1
ASSISTANT CAO (CSD),ASSISTANT CAO (CSD)  ,1
ASSISTANT COMMS DIRECTOR,ASSISTANT COMMUNICATIONS DIRECTOR  ,1
ASSISTANT TALLY CLERK (ACTING) (OVERTIME),ASSISTANT TALLY CLERK (ACTING)   ,1
ASST COMMUNICATIONS DIRECTOR,ASSISTANT COMMUNICATIONS DIRECTOR  ,1
ASST COMMUNICATIONS DIRECTOR (OTHER COMPENSATION),ASSISTANT COMMUNICATIONS DIRECTOR   ,1
ASST DIR ADMINISTRATION (OTHER COMPENSATION),ASSISTANT DIRECTOR ADMINISTRATION   ,1
"ASST DIR, OPERATIONS (OTHER COMPENSATION)","ASSISTANT DIRECTOR, OPERATIONS   ",1
ASST JOURNAL CLERK (OTHER COMPENSATION),ASSISTANT JOURNAL CLERK   ,1
ASST SYSTEMS ADMINISTRATOR (OVERTIME),ASSISTANT SYSTEMS ADMINISTRATOR   ,1
ASST TO CONG EDWARDS (P),ASSISTANT TO CONGRESSMAN EDWARDS   ,1
ASST TO CONG KINGSTON (P),ASSISTANT TO CONGRESSMAN KINGSTON   ,1
ASST TO CONG. HOLT,ASSISTANT TO CONGRESSMAN HOLT  ,1
ASST TO THE CLERK,ASSISTANT TO THE CLERK  ,1
ASST. COMM DIR AND CONST LIAISON,ASSISTANT COMMUNICATION DIRECTOR/CONSTITUENT LIAISON  ,1
"ASST. DIR., PERF. & FIN. AUDIT","ASSISTANT DIRECTOR, PERFORMANCE AND FINANCIAL AUDIT  ",1
"ASST.DIR., PERF. AUDITS, INV.","ASSISTANT DIRECTOR, PERFORMANCE AUDITS, INV.  ",1
BLANK 9,BLANK 9  ,1
BLUE DOG POLICY DIRECTOR,BLUE DOG POLICY DIRECTOR  ,1
BUDGET AND APPROPRIATIONS ANALYST,BUDGET/APPROPRIATIONS ANALYST  ,1
CALIFORNIA SCHEDULER,CALIFORNIA SCHEDULER  ,1
CALIFORNIA SCHEDULER (OTHER COMPENSATION),CALIFORNIA SCHEDULER   ,1
CAPAC EXECUTIVE DIRECTOR,CONGRESSIONAL ASIAN PACIFIC AMERICAN CAUCUS EXECUTIVE DIRECTOR  ,1
CASE AND PROJECT MGT,CASE AND PROJECT MANAGEMENT  ,1
CASEWORK MANAGER AND FIELD REPRESE,CASEWORK MANAGER/FIELD DIRECTOR REPRESENTATIVE  ,1
CASEWORKER AND DISTRICT REP (OTHER COMPENSATION),CASEWORKER/DISTRICT REPRESENTATIVE   ,1
CASEWORKER AND FIELD REP (OTHER COMPENSATION),CASEWORKER/FIELD DIRECTOR REPRESENTATIVE   ,1
CASEWORKER AND SPECIAL PROJ COORD,CASEWORKER/SPECIAL PROJECT COORDINATOR  ,1
CHIEF CLERK (COMMITTEES) (OVERTIME),CHIEF CLERK (COMMITTEES)   ,1
CHIEF COUNSEL (OTHER COMPENSATION),CHIEF COUNSEL   ,1
CHIEF LAB OPERATIONS (OVERTIME),CHIEF LAB OPERATIONS   ,1
CHIEF OF OPERATIONS,CHIEF OF OPERATIONS  ,1
COMMERICIAL AND AD LAW COUNSEL,COMMERICIAL AND AD LAW COUNSEL  ,1
COMMUNICATIONS ASSOCIATE,COMMUNICATIONS ASSOCIATE  ,1
COMMUNICATIONS ASSOCIATE (OTHER COMPENSATION),COMMUNICATIONS ASSOCIATE   ,1
COMMUNICATIONS DIR AND LEG ASST,COMMUNICATIONS DIRECTOR/LEGISLATIVE ASSISTANT  ,1
COMMUNICATIONS DIR AND PRESS SEC,COMMUNICATIONS DIRECTOR/PRESS SECRETARY  ,1
COMMUNICATIONS AND LEG ASSISTANT,COMMUNICATIONS/LEGISLATIVE ASSISTANT  ,1
COMMUNICATIONS AND LEG ASSISTANT (OTHER COMPENSATION),COMMUNICATIONS/LEGISLATIVE ASSISTANT   ,1
